ticker,name,short_name
NVB,National Citizen Commercial Joint Stock Bank,National Citizen Bank
NVL,No Va Land Investment Group Corporation,Novaland
OCB,Orient Commercial Joint Stock Bank,OCB Bank
ORS,Tien Phong Securities Corporation,Tien Phong Securities
PAN,The PAN Group Joint Stock Company,The PAN Group
PC1,PC1 Group Joint Stock Company,PC1 Group
PDN,Dong Nai Port Joint Stock Company,Dong Nai Port
PDR,Phat Dat Real Estate Development Corporation,Phat Dat Real Estate
PET,Petrovietnam General Services Corporation,Petrovietnam General Services
PGD,Petro Viet Nam Low Pressure Gas Distribution Joint Stock Company,PV Gas Distribution
PGI,Petrolimex Insurance Corporation,PJICO Insurance
PGV,Power Generation Joint Stock Corporation 3,Power Generation Corporation 3
PHR,Phuoc Hoa Rubber Joint Stock Company,Phuoc Hoa rubber
PLX,Vietnam National Petroleum Group,Petrolimex
PNJ,Phu Nhuan Jewelry Joint Stock Company,Phu Nhuan Jewelry
POW,PetroVietnam Power Corporation,PV Power
PPC,Pha Lai Thermal Power Joint Stock Company,Pha Lai Thermal Power
PRE,Hanoi Reinsurance Joint Stock Corporation,PVI Reinsurance
PTB,Phu Tai Joint Stock Company,Phu Tai Joint Stock Company
PTI,Post & Telecommunication Joint Stock Insurance Corporation,Post & Telecommunication Insurance
PVD,PetroVietNam Driling & Well Services Corporation,PetroVietNam Drilling & Well
PVI,PVI Holdings,PVI
PVS,PetroVietnam Technical Services Corporation,Petroleum Technical Services
PVT,PetroVietNam Transportation Corporation,PVTrans
QCG,Quoc Cuong Gia Lai Joint Stock Company,Quoc Cuong Gia Lai
RAL,Rang Dong Light Source and Vacuum Flask Joint Stock Company,Rang Dong Light and Vacuum Flask
REE,Refrigeration Electrical Engineering Corporation,Refrigeration Electrical Engineering
SAB,Saigon Beer - Alcohol - Beverage Corporation,SABECO
SAM,SAM Holdings Corporation,SAM Holdings
SBT,Thanh Thanh Cong - Bien Hoa Joint Stock Company,Thanh Thanh Cong - Bien Hoa Sugar
SCG,SCG Construction Group Joint Stock Company,SCG Construction
SCR,Sai Gon Thuong Tin Real Estate Joint Stock Company,TTC Land
SCS,Saigon Cargo Service Corporation,Saigon Cargo Service
SGN,Saigon Ground Services Joint Stock Company,Saigon Ground Services
SGR,Saigon Real Estate Group Joint Stock Company,SAIGONRES Group
SGT,Saigon Telecommunication And Technologies Corporation,Saigon Telecom
SHB,Saigon-Hanoi Commercial Joint Stock Bank,SH Bank
SHI,Sonha International Corporation,Sonha International Corporation
SHP,Southern Hydropower Joint Stock Company,Southern Hydropower
SHS,Sai Gon - Ha Noi Securities Joint Stock Company,Sai Gon - Ha Noi Securities
SIP,Saigon VRG Investment Corporation,SVGR CORP
SJS,SJ Group Joint Stock Company,SJ Group
SSB,Southeast Asia Commercial Joint Stock Bank,SeABank
SSI,SSI Securities Corporation,SSI Securities
STB,SaiGon Thuong Tin Commercial Joint Stock Bank,Sacombank
STG,South Logistics Joint Stock Company,South Logistics
STK,Century Synthetic Fiber Corporation,Century Synthetic Fiber
SZC,Sonadezi Chau Duc Shareholding Company,Sonadezi Chau Duc
TBC,Thac Ba Hydropower Joint Stock Company,Thac Ba Hydropower
TCB,Vietnam Technological And Commercial Joint Stock Bank,Techcombank
TCH,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services
